Actual,Predicted,Count
apple,apple,0
apple,banana,0
apple,blackgram,0
apple,chickpea,0
apple,coconut,0
apple,coffee,0
apple,cotton,0
apple,grapes,0
apple,jute,0
apple,kidneybeans,0
apple,lentil,0
apple,maize,0
apple,mango,0
apple,mothbeans,0
apple,mungbean,0
apple,muskmelon,0
apple,orange,0
apple,papaya,0
apple,pigeonpeas,0
apple,pomegranate,0
apple,rice,0
apple,watermelon,0
banana,apple,0
banana,banana,0
banana,blackgram,0
banana,chickpea,0
banana,coconut,0
banana,coffee,0
banana,cotton,0
banana,grapes,0
banana,jute,0
banana,kidneybeans,0
banana,lentil,0
banana,maize,0
banana,mango,0
banana,mothbeans,0
banana,mungbean,0
banana,muskmelon,0
banana,orange,0
banana,papaya,0
banana,pigeonpeas,0
banana,pomegranate,0
banana,rice,0
banana,watermelon,0
blackgram,apple,0
blackgram,banana,0
blackgram,blackgram,0
blackgram,chickpea,0
blackgram,coconut,0
blackgram,coffee,0
blackgram,cotton,0
blackgram,grapes,0
blackgram,jute,0
blackgram,kidneybeans,0
blackgram,lentil,0
blackgram,maize,0
blackgram,mango,0
blackgram,mothbeans,0
blackgram,mungbean,0
blackgram,muskmelon,0
blackgram,orange,0
blackgram,papaya,0
blackgram,pigeonpeas,0
blackgram,pomegranate,0
blackgram,rice,0
blackgram,watermelon,0
chickpea,apple,0
chickpea,banana,0
chickpea,blackgram,0
chickpea,chickpea,0
chickpea,coconut,0
chickpea,coffee,0
chickpea,cotton,0
chickpea,grapes,0
chickpea,jute,0
chickpea,kidneybeans,0
chickpea,lentil,0
chickpea,maize,0
chickpea,mango,0
chickpea,mothbeans,0
chickpea,mungbean,0
chickpea,muskmelon,0
chickpea,orange,0
chickpea,papaya,0
chickpea,pigeonpeas,0
chickpea,pomegranate,0
chickpea,rice,0
chickpea,watermelon,0
coconut,apple,0
coconut,banana,0
coconut,blackgram,0
coconut,chickpea,0
coconut,coconut,0
coconut,coffee,0
coconut,cotton,0
coconut,grapes,0
coconut,jute,0
coconut,kidneybeans,0
coconut,lentil,0
coconut,maize,0
coconut,mango,0
coconut,mothbeans,0
coconut,mungbean,0
coconut,muskmelon,0
coconut,orange,33
coconut,papaya,57
coconut,pigeonpeas,0
coconut,pomegranate,7
coconut,rice,3
coconut,watermelon,0
coffee,apple,0
coffee,banana,0
coffee,blackgram,0
coffee,chickpea,0
coffee,coconut,0
coffee,coffee,0
coffee,cotton,0
coffee,grapes,0
coffee,jute,0
coffee,kidneybeans,0
coffee,lentil,0
coffee,maize,43
coffee,mango,0
coffee,mothbeans,0
coffee,mungbean,0
coffee,muskmelon,0
coffee,orange,0
coffee,papaya,0
coffee,pigeonpeas,0
coffee,pomegranate,0
coffee,rice,57
coffee,watermelon,0
cotton,apple,0
cotton,banana,2
cotton,blackgram,0
cotton,chickpea,0
cotton,coconut,0
cotton,coffee,0
cotton,cotton,0
cotton,grapes,0
cotton,jute,0
cotton,kidneybeans,0
cotton,lentil,0
cotton,maize,95
cotton,mango,0
cotton,mothbeans,0
cotton,mungbean,0
cotton,muskmelon,0
cotton,orange,0
cotton,papaya,0
cotton,pigeonpeas,0
cotton,pomegranate,0
cotton,rice,0
cotton,watermelon,3
grapes,apple,0
grapes,banana,0
grapes,blackgram,0
grapes,chickpea,0
grapes,coconut,0
grapes,coffee,0
grapes,cotton,0
grapes,grapes,0
grapes,jute,0
grapes,kidneybeans,0
grapes,lentil,0
grapes,maize,0
grapes,mango,0
grapes,mothbeans,0
grapes,mungbean,0
grapes,muskmelon,0
grapes,orange,0
grapes,papaya,0
grapes,pigeonpeas,0
grapes,pomegranate,0
grapes,rice,0
grapes,watermelon,0
jute,apple,0
jute,banana,0
jute,blackgram,0
jute,chickpea,0
jute,coconut,0
jute,coffee,0
jute,cotton,0
jute,grapes,0
jute,jute,0
jute,kidneybeans,0
jute,lentil,0
jute,maize,0
jute,mango,0
jute,mothbeans,0
jute,mungbean,0
jute,muskmelon,0
jute,orange,0
jute,papaya,9
jute,pigeonpeas,0
jute,pomegranate,0
jute,rice,91
jute,watermelon,0
kidneybeans,apple,0
kidneybeans,banana,0
kidneybeans,blackgram,0
kidneybeans,chickpea,0
kidneybeans,coconut,0
kidneybeans,coffee,0
kidneybeans,cotton,0
kidneybeans,grapes,0
kidneybeans,jute,0
kidneybeans,kidneybeans,0
kidneybeans,lentil,0
kidneybeans,maize,0
kidneybeans,mango,0
kidneybeans,mothbeans,0
kidneybeans,mungbean,0
kidneybeans,muskmelon,0
kidneybeans,orange,0
kidneybeans,papaya,0
kidneybeans,pigeonpeas,0
kidneybeans,pomegranate,0
kidneybeans,rice,0
kidneybeans,watermelon,0
lentil,apple,0
lentil,banana,0
lentil,blackgram,0
lentil,chickpea,0
lentil,coconut,0
lentil,coffee,0
lentil,cotton,0
lentil,grapes,0
lentil,jute,0
lentil,kidneybeans,0
lentil,lentil,0
lentil,maize,0
lentil,mango,0
lentil,mothbeans,0
lentil,mungbean,0
lentil,muskmelon,0
lentil,orange,0
lentil,papaya,0
lentil,pigeonpeas,0
lentil,pomegranate,0
lentil,rice,0
lentil,watermelon,0
maize,apple,0
maize,banana,0
maize,blackgram,0
maize,chickpea,0
maize,coconut,0
maize,coffee,0
maize,cotton,0
maize,grapes,0
maize,jute,0
maize,kidneybeans,0
maize,lentil,0
maize,maize,0
maize,mango,0
maize,mothbeans,0
maize,mungbean,0
maize,muskmelon,0
maize,orange,0
maize,papaya,0
maize,pigeonpeas,0
maize,pomegranate,0
maize,rice,0
maize,watermelon,0
mango,apple,0
mango,banana,0
mango,blackgram,0
mango,chickpea,0
mango,coconut,0
mango,coffee,0
mango,cotton,0
mango,grapes,0
mango,jute,0
mango,kidneybeans,0
mango,lentil,0
mango,maize,0
mango,mango,0
mango,mothbeans,0
mango,mungbean,0
mango,muskmelon,0
mango,orange,0
mango,papaya,0
mango,pigeonpeas,0
mango,pomegranate,0
mango,rice,0
mango,watermelon,0
mothbeans,apple,0
mothbeans,banana,0
mothbeans,blackgram,0
mothbeans,chickpea,0
mothbeans,coconut,0
mothbeans,coffee,0
mothbeans,cotton,0
mothbeans,grapes,0
mothbeans,jute,0
mothbeans,kidneybeans,0
mothbeans,lentil,0
mothbeans,maize,0
mothbeans,mango,0
mothbeans,mothbeans,0
mothbeans,mungbean,0
mothbeans,muskmelon,0
mothbeans,orange,0
mothbeans,papaya,0
mothbeans,pigeonpeas,0
mothbeans,pomegranate,0
mothbeans,rice,0
mothbeans,watermelon,0
mungbean,apple,0
mungbean,banana,0
mungbean,blackgram,0
mungbean,chickpea,0
mungbean,coconut,0
mungbean,coffee,0
mungbean,cotton,0
mungbean,grapes,0
mungbean,jute,0
mungbean,kidneybeans,0
mungbean,lentil,0
mungbean,maize,0
mungbean,mango,0
mungbean,mothbeans,0
mungbean,mungbean,0
mungbean,muskmelon,0
mungbean,orange,0
mungbean,papaya,0
mungbean,pigeonpeas,0
mungbean,pomegranate,0
mungbean,rice,0
mungbean,watermelon,0
muskmelon,apple,0
muskmelon,banana,0
muskmelon,blackgram,0
muskmelon,chickpea,0
muskmelon,coconut,0
muskmelon,coffee,0
muskmelon,cotton,0
muskmelon,grapes,0
muskmelon,jute,0
muskmelon,kidneybeans,0
muskmelon,lentil,0
muskmelon,maize,0
muskmelon,mango,0
muskmelon,mothbeans,0
muskmelon,mungbean,0
muskmelon,muskmelon,0
muskmelon,orange,0
muskmelon,papaya,0
muskmelon,pigeonpeas,0
muskmelon,pomegranate,0
muskmelon,rice,0
muskmelon,watermelon,0
orange,apple,0
orange,banana,0
orange,blackgram,0
orange,chickpea,0
orange,coconut,0
orange,coffee,0
orange,cotton,0
orange,grapes,0
orange,jute,0
orange,kidneybeans,0
orange,lentil,0
orange,maize,0
orange,mango,0
orange,mothbeans,0
orange,mungbean,0
orange,muskmelon,0
orange,orange,0
orange,papaya,0
orange,pigeonpeas,0
orange,pomegranate,0
orange,rice,0
orange,watermelon,0
papaya,apple,0
papaya,banana,0
papaya,blackgram,0
papaya,chickpea,0
papaya,coconut,0
papaya,coffee,0
papaya,cotton,0
papaya,grapes,0
papaya,jute,0
papaya,kidneybeans,0
papaya,lentil,0
papaya,maize,0
papaya,mango,0
papaya,mothbeans,0
papaya,mungbean,0
papaya,muskmelon,0
papaya,orange,0
papaya,papaya,39
papaya,pigeonpeas,0
papaya,pomegranate,0
papaya,rice,1
papaya,watermelon,0
pigeonpeas,apple,0
pigeonpeas,banana,0
pigeonpeas,blackgram,0
pigeonpeas,chickpea,0
pigeonpeas,coconut,0
pigeonpeas,coffee,0
pigeonpeas,cotton,0
pigeonpeas,grapes,0
pigeonpeas,jute,0
pigeonpeas,kidneybeans,0
pigeonpeas,lentil,0
pigeonpeas,maize,0
pigeonpeas,mango,0
pigeonpeas,mothbeans,0
pigeonpeas,mungbean,0
pigeonpeas,muskmelon,0
pigeonpeas,orange,0
pigeonpeas,papaya,0
pigeonpeas,pigeonpeas,0
pigeonpeas,pomegranate,0
pigeonpeas,rice,0
pigeonpeas,watermelon,0
pomegranate,apple,0
pomegranate,banana,0
pomegranate,blackgram,0
pomegranate,chickpea,0
pomegranate,coconut,0
pomegranate,coffee,0
pomegranate,cotton,0
pomegranate,grapes,0
pomegranate,jute,0
pomegranate,kidneybeans,0
pomegranate,lentil,0
pomegranate,maize,0
pomegranate,mango,0
pomegranate,mothbeans,0
pomegranate,mungbean,0
pomegranate,muskmelon,0
pomegranate,orange,0
pomegranate,papaya,0
pomegranate,pigeonpeas,0
pomegranate,pomegranate,0
pomegranate,rice,0
pomegranate,watermelon,0
rice,apple,0
rice,banana,0
rice,blackgram,0
rice,chickpea,0
rice,coconut,0
rice,coffee,0
rice,cotton,0
rice,grapes,0
rice,jute,0
rice,kidneybeans,0
rice,lentil,0
rice,maize,0
rice,mango,0
rice,mothbeans,0
rice,mungbean,0
rice,muskmelon,0
rice,orange,0
rice,papaya,0
rice,pigeonpeas,0
rice,pomegranate,0
rice,rice,0
rice,watermelon,0
watermelon,apple,0
watermelon,banana,0
watermelon,blackgram,0
watermelon,chickpea,0
watermelon,coconut,0
watermelon,coffee,0
watermelon,cotton,0
watermelon,grapes,0
watermelon,jute,0
watermelon,kidneybeans,0
watermelon,lentil,0
watermelon,maize,0
watermelon,mango,0
watermelon,mothbeans,0
watermelon,mungbean,0
watermelon,muskmelon,0
watermelon,orange,0
watermelon,papaya,0
watermelon,pigeonpeas,0
watermelon,pomegranate,0
watermelon,rice,0
watermelon,watermelon,0
